Time,Open,High,Low,Last,Change,%Chg,Volume
11/02/2021,4.2733,4.2809,4.2652,4.2729,-0.0005,-0.01%,1973
11/01/2021,4.2789,4.2934,4.272,4.2734,-0.0054,-0.13%,1968
10/29/2021,4.2625,4.2848,4.2583,4.2788,0.0164,+0.38%,2015
10/28/2021,4.2729,4.2811,4.2615,4.2624,-0.0104,-0.24%,1720
10/27/2021,4.2686,4.2885,4.2602,4.2728,0.0042,+0.10%,1793
10/26/2021,4.2482,4.2714,4.2408,4.2686,0.0205,+0.48%,1888
10/25/2021,4.2949,4.2949,4.1863,4.2481,-0.0325,-0.76%,1964
10/22/2021,4.294,4.2944,4.2732,4.2806,-0.0134,-0.31%,2020
10/21/2021,4.2887,4.296,4.2851,4.294,0.0052,+0.12%,1992
10/20/2021,4.2869,4.3002,4.2839,4.2888,0.0019,+0.04%,1992
10/19/2021,4.3002,4.3004,4.2681,4.2869,-0.0133,-0.31%,1984
10/18/2021,4.3052,4.3057,4.2935,4.3002,0.0043,+0.10%,1988
10/15/2021,4.2587,4.2959,4.2574,4.2959,0.0372,+0.87%,1998
10/14/2021,4.2602,4.2726,4.2586,4.2587,-0.0015,-0.04%,1980
10/13/2021,4.2782,4.2807,4.2581,4.2602,-0.018,-0.42%,1961
10/12/2021,4.3244,4.3285,4.2745,4.2782,-0.0462,-1.07%,1947
10/11/2021,4.3417,4.3515,4.2584,4.3244,-0.0248,-0.57%,1952
10/08/2021,4.3367,4.3548,4.3328,4.3492,0.0126,+0.29%,1996
10/07/2021,4.3368,4.3441,4.3284,4.3366,-0.0002,0.00%,1988
10/06/2021,4.3392,4.3612,4.3368,4.3368,-0.0025,-0.06%,1971
10/05/2021,4.3315,4.3442,4.3308,4.3393,0.0077,+0.18%,1982
10/04/2021,4.3131,4.3363,4.3049,4.3316,0.0217,+0.50%,1998
10/01/2021,4.3167,4.3376,4.3099,4.3099,-0.0061,-0.14%,1998
09/30/2021,4.3581,4.3584,4.3144,4.316,-0.0421,-0.97%,1900
09/29/2021,4.3443,4.3634,4.3384,4.3581,0.0138,+0.32%,1900
09/28/2021,4.3116,4.3497,4.31,4.3443,0.0326,+0.76%,1899
09/27/2021,4.2898,4.3119,4.2863,4.3117,0.0267,+0.62%,1909
09/24/2021,4.288,4.2948,4.2789,4.285,-0.0031,-0.07%,1933
09/23/2021,4.2929,4.3096,4.2602,4.2881,-0.0051,-0.12%,1875
09/22/2021,4.2804,4.2966,4.2804,4.2932,0.0129,+0.30%,1905
09/21/2021,4.2791,4.2977,4.2779,4.2803,0.0013,+0.03%,1905
09/20/2021,4.2811,4.2821,4.2758,4.279,0.0012,+0.03%,1916
09/17/2021,4.2552,4.2778,4.2515,4.2778,0.0227,+0.53%,1944
09/16/2021,4.2204,4.2556,4.2185,4.2551,0.0346,+0.82%,1913
09/15/2021,4.2293,4.2369,4.218,4.2205,-0.0088,-0.21%,1915
09/14/2021,4.2212,4.2357,4.2182,4.2293,0.0082,+0.19%,1903
09/13/2021,4.2042,4.2279,4.2001,4.2211,0.0156,+0.37%,1950
09/10/2021,4.2006,4.2065,4.1909,4.2055,0.0049,+0.12%,2067
09/09/2021,4.2088,4.2119,4.1957,4.2006,-0.0083,-0.20%,2027
09/08/2021,4.2024,4.2175,4.1978,4.2089,0.0066,+0.16%,2025
09/07/2021,4.1746,4.2026,4.1705,4.2023,0.0277,+0.66%,2010
09/06/2021,4.1786,4.1786,4.1632,4.1746,0.0005,+0.01%,1991
09/03/2021,4.1725,4.1957,4.166,4.1741,0.0017,+0.04%,1877
09/02/2021,4.1501,4.176,4.1485,4.1724,0.0222,+0.53%,1895
09/01/2021,4.1419,4.1584,4.1345,4.1502,0.0083,+0.20%,1914
08/31/2021,4.1689,4.1693,4.1358,4.1419,-0.027,-0.65%,1922
08/30/2021,4.1775,4.1775,4.1573,4.1689,-0.0045,-0.11%,1912
08/27/2021,4.2033,4.2103,4.1711,4.1734,-0.03,-0.71%,1898
08/26/2021,4.2087,4.2129,4.1981,4.2034,-0.0049,-0.12%,1895
08/25/2021,4.2185,4.2285,4.197,4.2083,-0.0101,-0.24%,1903
08/24/2021,4.263,4.2693,4.215,4.2184,-0.0446,-1.05%,1898
08/23/2021,4.2726,4.2816,4.1803,4.263,-0.0123,-0.29%,1918
08/20/2021,4.28,4.2834,4.2709,4.2753,-0.0046,-0.11%,2018
08/19/2021,4.2711,4.2871,4.2702,4.2799,0.0088,+0.21%,2024
08/18/2021,4.2765,4.2782,4.2492,4.2711,-0.0054,-0.13%,1998
08/17/2021,4.2849,4.2943,4.2618,4.2765,-0.0081,-0.19%,2001
08/16/2021,4.2797,4.296,4.2748,4.2846,0.0085,+0.20%,1997
08/13/2021,4.2478,4.2835,4.2453,4.2761,0.0281,+0.66%,1880
08/12/2021,4.2557,4.2635,4.234,4.248,-0.0076,-0.18%,1889
08/11/2021,4.2962,4.2975,4.2541,4.2556,-0.0406,-0.95%,1907
08/10/2021,4.2963,4.2991,4.293,4.2962,-0.0001,0.00%,1930
08/09/2021,4.2986,4.2986,4.2121,4.2963,0.0042,+0.10%,1896
08/06/2021,4.2728,4.2933,4.2717,4.2921,0.0192,+0.45%,1894
08/05/2021,4.2582,4.2747,4.2506,4.2729,0.0147,+0.35%,1899
08/04/2021,4.2425,4.2601,4.2413,4.2582,0.0157,+0.37%,1922
08/03/2021,4.2363,4.2464,4.2332,4.2425,0.0061,+0.14%,1920
08/02/2021,4.2309,4.2375,4.2244,4.2364,0.0045,+0.11%,1911
07/30/2021,4.2244,4.2332,4.2216,4.2319,0.0074,+0.18%,1917
07/29/2021,4.2156,4.229,4.2145,4.2245,0.0088,+0.21%,1909
07/28/2021,4.2251,4.2299,4.2157,4.2157,-0.0095,-0.22%,1898
07/27/2021,4.2263,4.2341,4.224,4.2252,-0.0012,-0.03%,1928
07/26/2021,4.2302,4.2372,4.1473,4.2264,-0.0112,-0.26%,1904
07/23/2021,4.2288,4.2385,4.2266,4.2376,0.0088,+0.21%,1926
07/22/2021,4.2194,4.2302,4.2175,4.2288,0.0094,+0.22%,1896
07/21/2021,4.2162,4.2262,4.2159,4.2194,0.0032,+0.08%,1903
07/20/2021,4.225,4.2267,4.2154,4.2162,-0.0088,-0.21%,1917
07/19/2021,4.2096,4.2274,4.1248,4.225,0.0071,+0.17%,1885
07/16/2021,4.2041,4.2192,4.202,4.2179,0.0137,+0.33%,1907
07/15/2021,4.1942,4.2056,4.1908,4.2042,0.01,+0.24%,1880
07/14/2021,4.2021,4.206,4.1931,4.1942,-0.0082,-0.20%,1910
07/13/2021,4.2047,4.2047,4.1888,4.2024,-0.0024,-0.06%,1895
07/12/2021,4.1767,4.2068,4.0937,4.2048,0.0219,+0.52%,1872
07/09/2021,4.1822,4.2065,4.1812,4.1829,0.0007,+0.02%,1884
07/08/2021,4.1576,4.1845,4.1557,4.1822,0.0246,+0.59%,1879
07/07/2021,4.1491,4.159,4.1465,4.1576,0.0086,+0.21%,1902
07/06/2021,4.1272,4.1515,4.1258,4.149,0.0218,+0.53%,1884
07/05/2021,4.1384,4.1384,4.0468,4.1272,-0.0025,-0.06%,1869
07/02/2021,4.1264,4.1474,4.1225,4.1297,0.0033,+0.08%,1877
07/01/2021,4.1189,4.1289,4.1135,4.1264,0.0075,+0.18%,1869
06/30/2021,4.1272,4.1341,4.1154,4.1189,-0.0084,-0.20%,1865
06/29/2021,4.1059,4.136,4.1051,4.1273,0.0217,+0.53%,1877
06/28/2021,4.0994,4.1163,4.0136,4.1056,0.0113,+0.28%,1860
06/25/2021,4.1017,4.1064,4.0846,4.0943,-0.0074,-0.18%,1847
06/24/2021,4.0932,4.1131,4.093,4.1017,0.0086,+0.21%,1851
06/23/2021,4.0752,4.1014,4.0747,4.0931,0.0183,+0.45%,1874
06/22/2021,4.0628,4.0877,4.0628,4.0748,0.0121,+0.30%,1871
06/21/2021,4.052,4.074,4.0419,4.0627,0.0097,+0.24%,1877
06/18/2021,4.0433,4.053,4.0329,4.053,0.0097,+0.24%,1853
06/17/2021,4.0246,4.0459,4.0237,4.0433,0.0188,+0.47%,1875
06/16/2021,4.0101,4.0273,4.0062,4.0245,0.0144,+0.36%,1870
06/15/2021,4.0046,4.0127,4.0011,4.0101,0.0055,+0.14%,1891
06/14/2021,4.0013,4.0081,3.9988,4.0046,0.0046,+0.12%,1849
06/11/2021,4.0051,4.0098,3.9946,4,-0.0051,-0.13%,1844
06/10/2021,4.0105,4.0166,4.005,4.0051,-0.0054,-0.13%,1863
06/09/2021,4.0165,4.0188,4.0071,4.0105,-0.0059,-0.15%,1851
06/08/2021,4.0137,4.0202,4.0104,4.0164,0.0028,+0.07%,1862
06/07/2021,4.014,4.0194,4.0074,4.0136,0.0034,+0.08%,1848
06/04/2021,4.0186,4.0302,4.0082,4.0102,-0.0084,-0.21%,1857
06/03/2021,4.0041,4.0193,4.002,4.0186,0.0143,+0.36%,1826
06/02/2021,4.0125,4.0164,4.0027,4.0043,-0.0082,-0.20%,1823
06/01/2021,4.0127,4.0179,4.0085,4.0125,-0.0002,0.00%,1830
05/31/2021,4.0257,4.0257,4.0121,4.0127,-0.0084,-0.21%,1854
05/28/2021,4.0271,4.0333,4.0189,4.0211,-0.006,-0.15%,1857
05/27/2021,4.0217,4.0325,4.0212,4.0271,0.0054,+0.13%,1845
05/26/2021,4.0321,4.0348,4.0194,4.0217,-0.0104,-0.26%,1835
05/25/2021,4.0286,4.0425,4.0276,4.0321,0.0034,+0.08%,1853
05/24/2021,4.0402,4.0402,4.0263,4.0287,-0.0096,-0.24%,1831
05/21/2021,4.0364,4.0423,4.0336,4.0383,0.0018,+0.04%,1844
05/20/2021,4.0429,4.0443,4.035,4.0365,-0.0063,-0.16%,1884
05/19/2021,4.0404,4.0486,4.035,4.0428,0.0023,+0.06%,1840
05/18/2021,4.0477,4.0528,4.0387,4.0405,-0.0073,-0.18%,1840
05/17/2021,4.0299,4.0523,4.0283,4.0478,0.015,+0.37%,1821
05/14/2021,4.0267,4.0364,4.0267,4.0328,0.0061,+0.15%,1802
05/13/2021,4.0255,4.0383,4.0237,4.0267,0.0012,+0.03%,1851
05/12/2021,4.0094,4.0265,4.0068,4.0255,0.0161,+0.40%,1851
05/11/2021,4.0033,4.0117,3.9967,4.0094,0.0061,+0.15%,1873
05/10/2021,3.997,4.0076,3.8985,4.0033,0.0071,+0.18%,1863
05/07/2021,4.0153,4.0232,3.9953,3.9962,-0.019,-0.47%,1832
05/06/2021,4.002,4.0228,4.0014,4.0152,0.0132,+0.33%,1876
05/05/2021,4.0116,4.0159,3.9973,4.002,-0.0096,-0.24%,1867
05/04/2021,4.0004,4.0153,4,4.0116,0.0112,+0.28%,1887
05/03/2021,4.0049,4.0133,3.9434,4.0004,-0.009,-0.22%,1869
04/30/2021,4.0128,4.0162,4.0045,4.0094,-0.0034,-0.08%,1860
04/29/2021,4.033,4.0347,4.0112,4.0128,-0.0203,-0.50%,1864
04/28/2021,4.0334,4.0439,4.0325,4.0331,-0.0003,-0.01%,1854
04/27/2021,4.044,4.0532,4.0327,4.0334,-0.0105,-0.26%,1866
04/26/2021,4.0488,4.054,4.0384,4.0439,0.0015,+0.04%,1850
04/23/2021,4.0421,4.0498,4.0347,4.0424,0.0004,+0.01%,1857
04/22/2021,4.0278,4.0433,4.0261,4.042,0.0141,+0.35%,1851
04/21/2021,4.0272,4.0376,4.0233,4.0279,0.0007,+0.02%,1865
04/20/2021,4.0139,4.0296,4.0104,4.0272,0.0135,+0.34%,1875
04/19/2021,4.0191,4.0235,3.9368,4.0137,0.0078,+0.19%,1845
04/16/2021,4.0028,4.024,4.0026,4.0059,0.0031,+0.08%,1837
04/15/2021,4.0285,4.0358,4.0011,4.0028,-0.0259,-0.64%,1877
04/14/2021,4.0478,4.0492,4.0252,4.0287,-0.0188,-0.46%,1852
04/13/2021,4.0483,4.0625,4.045,4.0475,-0.0008,-0.02%,1877
04/12/2021,4.047,4.0558,3.9521,4.0483,0.0069,+0.17%,1811
04/09/2021,4.0339,4.0473,4.0253,4.0414,0.0075,+0.19%,1814
04/08/2021,4.0269,4.0467,4.0255,4.0339,0.007,+0.17%,1842
04/07/2021,4.018,4.0289,4.0157,4.0269,0.009,+0.22%,1853
04/06/2021,4.0115,4.0362,3.9115,4.0179,0.0064,+0.16%,1845
04/05/2021,4.0194,4.0359,3.926,4.0115,-0.003,-0.07%,1816
04/02/2021,4.0094,4.0168,4.0073,4.0145,0.005,+0.12%,1811
04/01/2021,4.0133,4.0272,4.0092,4.0095,-0.0039,-0.10%,1845
03/31/2021,4.0222,4.0344,4.0115,4.0134,-0.0087,-0.22%,1839
03/30/2021,4.0124,4.0249,4.0072,4.0221,0.0097,+0.24%,1828
03/29/2021,4.0065,4.0137,4.0024,4.0124,0.0105,+0.26%,1827
03/26/2021,4.0073,4.0117,3.9918,4.0019,-0.0053,-0.13%,1828
03/25/2021,3.9881,4.0083,3.9853,4.0072,0.0188,+0.47%,1834
03/24/2021,3.9883,3.9944,3.9855,3.9884,0,0.00%,1844
03/23/2021,3.9695,3.99,3.9687,3.9884,0.0189,+0.48%,1816
03/22/2021,3.9508,3.9804,3.8815,3.9695,0.0108,+0.27%,1861
03/19/2021,3.9753,3.9836,3.9587,3.9587,-0.0169,-0.43%,1786
